title,author,price,img
미분적분학 : 대학수학의 첫걸음,수학교재편찬위원회,28000,https://www.hanbit.co.kr/data/books/B3331792777_m.jpg
제대로 시작하는 기초 통계학 : Excel 활용 (2판),노경섭,25000,https://www.hanbit.co.kr/data/books/B5373816298_m.jpg
친절한 미분적분학,"캐럴 애시, 로버트 B. 애시",32000,https://www.hanbit.co.kr/data/books/B2976231938_m.jpg
"IT CookBook, 4차 산업혁명과 정보통신의 이해","김정섭 , 이호상 , 양인창",25000,https://www.hanbit.co.kr/data/books/B3737758364_m.jpg
"IT CookBook, C# 프로그래밍 2판",윤인성,26000,https://www.hanbit.co.kr/data/books/B3094396807_m.jpg
"IT CookBook, 게임 제작으로 배우는 유니티","이종원 , 정종필",30000,https://www.hanbit.co.kr/data/books/B8935794438_m.jpg
"IT CookBook, 난생처음 R 코딩 & 데이터 분석","오세종 , 신현석",25000,https://www.hanbit.co.kr/data/books/B2903514322_m.jpg
"IT CookBook, 난생처음 인공지능 with 스크래치",고광일,23000,https://www.hanbit.co.kr/data/books/B4011259634_m.jpg
"IT CookBook, 난생처음 컴퓨팅 사고 with 파이썬",김명호,23000,https://www.hanbit.co.kr/data/books/B2890271292_m.jpg
"IT CookBook, 초융합 시대의 멀티미디어와 콘텐츠","김용태 , 박길철",29000,https://www.hanbit.co.kr/data/books/B3159505553_m.jpg
"IT CookBook, 파이썬으로 만드는 인공지능","오일석 , 이진선",31000,https://www.hanbit.co.kr/data/books/B8091740296_m.jpg
"IT CookBook, 핵심이 보이는 전자기학",김성중,28000,https://www.hanbit.co.kr/data/books/B6109809364_m.jpg
"Statics and Mechanics of Materials, 3rd Edition","Ferdinand Beer , E. Johnston , John DeWolf , David Mazurek",45000,https://www.hanbit.co.kr/data/books/B1559528854_m.jpg
"IT CookBook, 데이터 과학 기반의 파이썬 빅데이터 분석",이지영,28000,https://www.hanbit.co.kr/data/books/B5574348931_m.jpg
"IT CookBook, 전자기학 : 풍부한 그림으로 형상화하여 이해하는 전자기학의 핵심",김동명,38000,https://www.hanbit.co.kr/data/books/B6375462218_m.jpg
"IT CookBook, 쉽게 배우는 자바 프로그래밍 2판",우종정,29000,https://www.hanbit.co.kr/data/books/B2714244159_m.jpg
포르잔 C++ 에센셜,"Behrouz A. Forouzan , Richard F. Gilberg",32000,https://www.hanbit.co.kr/data/books/B4797877052_m.jpg
플랫폼 비즈니스를 위한 경영정보시스템,"정창근 , 김종락 , 김시영",29000,https://www.hanbit.co.kr/data/books/B1125099909_m.jpg
